Temperature_K,Pressure_Ideal-Gas-Model-bars,Pressure_van-der-Waals-Real-Gas-Model_bars,Pressure-Peng-Robinson-Real-Gas-Model-bars
0.000, 0.000, -30.232, -75.376
2.000, 0.256, -29.925, -71.012
4.000, 0.512, -29.618, -69.070
6.000, 0.767, -29.311, -67.527
8.000, 1.023, -29.004, -66.190
10.000, 1.279, -28.697, -64.985
12.000, 1.535, -28.390, -63.873
14.000, 1.791, -28.083, -62.833
16.000, 2.047, -27.776, -61.849
18.000, 2.302, -27.468, -60.910
20.000, 2.558, -27.161, -60.011
22.000, 2.814, -26.854, -59.143
24.000, 3.070, -26.547, -58.305
26.000, 3.326, -26.240, -57.491
28.000, 3.582, -25.933, -56.699
30.000, 3.837, -25.626, -55.928
32.000, 4.093, -25.319, -55.173
34.000, 4.349, -25.012, -54.436
36.000, 4.605, -24.705, -53.712
38.000, 4.861, -24.398, -53.003
40.000, 5.117, -24.091, -52.306
42.000, 5.372, -23.784, -51.620
44.000, 5.628, -23.476, -50.946
46.000, 5.884, -23.169, -50.281
48.000, 6.140, -22.862, -49.626
50.000, 6.396, -22.555, -48.979
52.000, 6.652, -22.248, -48.341
54.000, 6.907, -21.941, -47.710
56.000, 7.163, -21.634, -47.087
58.000, 7.419, -21.327, -46.471
60.000, 7.675, -21.020, -45.862
62.000, 7.931, -20.713, -45.258
64.000, 8.187, -20.406, -44.661
66.000, 8.442, -20.099, -44.070
68.000, 8.698, -19.791, -43.484
70.000, 8.954, -19.484, -42.903
72.000, 9.210, -19.177, -42.327
74.000, 9.466, -18.870, -41.756
76.000, 9.722, -18.563, -41.190
78.000, 9.977, -18.256, -40.627
80.000, 10.233, -17.949, -40.070
82.000, 10.489, -17.642, -39.516
84.000, 10.745, -17.335, -38.966
86.000, 11.001, -17.028, -38.420
88.000, 11.257, -16.721, -37.878
90.000, 11.512, -16.414, -37.339
92.000, 11.768, -16.107, -36.804
94.000, 12.024, -15.799, -36.272
96.000, 12.280, -15.492, -35.743
98.000, 12.536, -15.185, -35.217
100.000, 12.792, -14.878, -34.695
102.000, 13.047, -14.571, -34.175
104.000, 13.303, -14.264, -33.658
106.000, 13.559, -13.957, -33.144
108.000, 13.815, -13.650, -32.633
110.000, 14.071, -13.343, -32.124
112.000, 14.327, -13.036, -31.617
114.000, 14.582, -12.729, -31.113
116.000, 14.838, -12.422, -30.612
118.000, 15.094, -12.114, -30.113
120.000, 15.350, -11.807, -29.616
122.000, 15.606, -11.500, -29.121
124.000, 15.862, -11.193, -28.629
126.000, 16.117, -10.886, -28.139
128.000, 16.373, -10.579, -27.650
130.000, 16.629, -10.272, -27.164
132.000, 16.885, -9.965, -26.680
134.000, 17.141, -9.658, -26.198
136.000, 17.396, -9.351, -25.717
138.000, 17.652, -9.044, -25.239
140.000, 17.908, -8.737, -24.762
142.000, 18.164, -8.429, -24.287
144.000, 18.420, -8.122, -23.813
146.000, 18.676, -7.815, -23.342
148.000, 18.931, -7.508, -22.872
150.000, 19.187, -7.201, -22.404
152.000, 19.443, -6.894, -21.937
154.000, 19.699, -6.587, -21.472
156.000, 19.955, -6.280, -21.008
158.000, 20.211, -5.973, -20.546
160.000, 20.466, -5.666, -20.085
162.000, 20.722, -5.359, -19.626
164.000, 20.978, -5.052, -19.168
166.000, 21.234, -4.745, -18.712
168.000, 21.490, -4.437, -18.257
170.000, 21.746, -4.130, -17.803
172.000, 22.001, -3.823, -17.351
174.000, 22.257, -3.516, -16.899
176.000, 22.513, -3.209, -16.450
178.000, 22.769, -2.902, -16.001
180.000, 23.025, -2.595, -15.554
182.000, 23.281, -2.288, -15.108
184.000, 23.536, -1.981, -14.663
186.000, 23.792, -1.674, -14.219
188.000, 24.048, -1.367, -13.776
190.000, 24.304, -1.060, -13.335
192.000, 24.560, -0.752, -12.894
194.000, 24.816, -0.445, -12.455
196.000, 25.071, -0.138, -12.017
198.000, 25.327, 0.169, -11.580
200.000, 25.583, 0.476, -11.144
202.000, 25.839, 0.783, -10.709
204.000, 26.095, 1.090, -10.275
206.000, 26.351, 1.397, -9.842
208.000, 26.606, 1.704, -9.410
210.000, 26.862, 2.011, -8.979
212.000, 27.118, 2.318, -8.549
214.000, 27.374, 2.625, -8.120
